,RealCoupon,ModelCoupon,PercentError,,RealCoupon,ModelCoupon
3/19/2014,3.26074,3.271648372,0.003345367,3/18/2014,3.39423,3.306393321
3/18/2014,3.17898,3.188876792,0.003113197,3/17/2014,3.41746,3.323171293
3/17/2014,3.20765,3.203977597,0.001144889,3/14/2014,3.36349,3.282436545
3/14/2014,3.13623,3.166081839,0.009518383,3/13/2014,3.34844,3.281600451
3/13/2014,3.11583,3.164700719,0.015684655,3/12/2014,3.40859,3.326675771
3/12/2014,3.19205,3.205965845,0.004359532,3/11/2014,3.44385,3.358765796
3/11/2014,3.22784,3.236303082,0.002621902,3/10/2014,3.44657,3.378083005
3/10/2014,3.22546,3.256378906,0.009585891,3/7/2014,3.46137,3.397063963
3/7/2014,3.24213,3.275547325,0.010307213,3/6/2014,3.4237,3.356249107
3/6/2014,3.2014,3.240409717,0.012185205,3/5/2014,3.40152,3.318820141
3/5/2014,3.18646,3.205870779,0.006091644,3/4/2014,3.39831,3.328339106
3/4/2014,3.18511,3.216359194,0.009811025,3/3/2014,3.3253,3.241411162
3/3/2014,3.09872,3.13133542,0.010525449,2/28/2014,3.35149,3.273129318
2/28/2014,3.12516,3.161588523,0.01165653,2/27/2014,3.33702,3.258967155
2/27/2014,3.11399,3.148951263,0.01122716,2/26/2014,3.36186,3.26701214
2/26/2014,3.14192,3.157588878,0.004987039,2/25/2014,3.37625,3.292457476
2/25/2014,3.15859,3.181504988,0.007254816,2/24/2014,3.42988,3.336853042
2/24/2014,3.21553,3.224171322,0.002687371,2/21/2014,3.42382,3.32955393
2/21/2014,3.2014,3.218065587,0.005205718,2/20/2014,3.44099,3.358017141
2/20/2014,3.22002,3.245650718,0.007959801,2/19/2014,3.42085,3.345784235
2/19/2014,3.20419,3.235674094,0.009825913,2/18/2014,3.40225,3.325281353
2/18/2014,3.18163,3.21702934,0.011126165,2/14/2014,3.42405,3.352036363
2/14/2014,3.20449,3.241680395,0.011605714,2/13/2014,3.39638,3.35050718
2/13/2014,3.17069,3.241713029,0.022399865,2/12/2014,3.43678,3.405985059
2/12/2014,3.22606,3.293794246,0.020995966,2/11/2014,3.3874,3.370893722
2/11/2014,3.17119,3.261426352,0.028455044,2/10/2014,3.34761,3.329016432
2/10/2014,3.13018,3.222916363,0.029626527,2/7/2014,3.343,3.340862192
2/7/2014,3.14057,3.235542018,0.030240376,2/6/2014,3.37993,3.388484213
2/6/2014,3.1788,3.278404531,0.031334004,2/5/2014,3.35841,3.364213713
2/5/2014,3.15997,3.25651373,0.030552103,2/4/2014,3.31116,3.337265871
