asOfDate,4y7y_ATM,5y7y_ATM,3y7y_ATM,5y10y_ATM
7/30/2013,106.9133155,104.9889367,107.8149272,101.1994928
7/29/2013,106.842988,104.8965499,107.7601691,101.1709539
7/26/2013,106.528705,104.655309,107.4084951,101.0689298
7/25/2013,106.1772117,104.2461516,107.2094514,100.709982
7/24/2013,105.9687071,104.0448877,106.9500516,100.7094516
7/23/2013,104.0028985,102.2545677,104.7328066,98.95552632
7/22/2013,103.5033231,101.8830378,104.1580784,98.67562188
7/19/2013,103.3001758,101.6917767,103.9288604,98.47321026
7/18/2013,103.6074129,101.8864488,104.3626586,98.64107461
7/17/2013,103.6739254,101.7173603,104.5561431,98.54724592
7/16/2013,104.6572817,102.4988917,105.7926272,99.25487911
7/15/2013,105.0320744,102.8094935,106.2778306,99.50599565
7/12/2013,105.7562888,103.2445191,107.2850911,99.7734253
7/11/2013,105.346849,102.9638389,106.7598277,99.52983401
7/10/2013,106.5749758,103.5999386,108.4625446,99.96477626
7/9/2013,106.083147,103.1934878,107.9366476,99.67533781
7/8/2013,106.733292,103.7918886,108.7013726,100.297854
7/5/2013,107.7498844,104.614249,109.8882839,100.9979708
7/3/2013,105.1824678,103.2615829,106.0639028,99.6563544
7/2/2013,104.4614949,102.759098,105.087523,99.24986555
7/1/2013,104.6449691,102.7967068,105.2522802,99.21332635
6/28/2013,105.1386145,103.2362511,105.7965427,99.52356667
6/27/2013,104.0098875,102.2175655,104.5801064,98.61555813
6/26/2013,106.346978,103.5220156,107.8215258,99.63391228
6/25/2013,106.8569021,103.8292312,108.5741067,99.78544127
6/24/2013,107.0953236,104.3021803,108.6281357,100.3757348
6/21/2013,106.0163044,103.8874838,106.8776837,99.92526588
6/20/2013,105.8694641,104.3476394,106.1529343,100.1479924
6/19/2013,104.0948557,103.5996815,102.8832541,99.66106448
6/18/2013,101.6185275,101.5846032,100.0014881,97.66497476
6/17/2013,101.4736202,101.4436043,99.87834151,97.6042467
6/14/2013,100.7236699,100.8248981,98.98745914,97.24112125
6/13/2013,101.5090028,101.009996,100.394685,97.56216442
6/12/2013,103.1053519,102.337067,102.1269137,98.57765412
6/11/2013,103.5201324,102.6193063,102.7408695,98.90163374
6/10/2013,103.6681436,102.7545,102.9392451,98.88708689
6/7/2013,102.942479,102.2708023,101.9633255,98.52729072
6/6/2013,101.8906744,101.4410795,100.7189228,97.75754586
6/5/2013,102.3687665,101.8096516,101.1927859,98.12000678
6/4/2013,102.2791372,101.6318994,101.2576583,97.99873385
6/3/2013,100.9107596,100.5002605,99.62236088,96.94143576
5/31/2013,99.17120294,98.77434438,97.88555913,95.56566638
5/30/2013,98.0565292,97.90611447,96.50392355,94.9731717
5/29/2013,97.30130871,97.30473212,95.57096801,94.27142621
5/28/2013,95.99842917,96.39187116,93.91079724,93.75146771
5/24/2013,93.6119623,94.62413174,90.88714732,92.27424621
5/23/2013,93.58788441,94.51139089,90.74980616,91.94323709
5/22/2013,93.29921492,94.45971402,90.19679702,91.93554373
5/21/2013,92.55023018,94.10475921,89.09081785,91.74301682
5/20/2013,92.72426017,94.20963721,89.35324156,91.77128542
