"LoanID","Index","DelinqStatus","EndStatus"
"F100Q1002370",12,1,"btc"
"F100Q1002370",31,1,"btc"
"F100Q1002370",33,1,"btc"
"F100Q1002386",9,1,"btc"
"F100Q1002413",12,1,"btc"
"F100Q1002413",14,1,"btc"
"F100Q1002435",5,1,"btc"
"F100Q1002435",8,1,"btc"
"F100Q1002441",5,1,"btc"
"F100Q1002462",16,1,"btc"
"F100Q1002465",8,4,"btc"
"F100Q1002465",11,4,"btc"
"F100Q1002465",27,10,"btc"
"F100Q1002490",39,1,"btc"
"F100Q1002493",10,1,"btc"
"F100Q1002499",4,1,"btc"
"F100Q1002499",11,1,"btc"
"F100Q1002499",13,1,"btc"
"F100Q1002553",5,1,"btc"
"F100Q1002580",10,1,"btc"
"F100Q1002580",12,1,"btc"
"F100Q1002580",15,1,"btc"
"F100Q1002592",9,2,"btc"
"F100Q1002592",19,2,"btc"
"F100Q1002592",47,11,"btc"
"F100Q1002608",11,1,"btc"
"F100Q1002619",12,2,"btc"
"F100Q1002619",15,1,"btc"
"F100Q1002619",23,1,"btc"
"F100Q1002619",48,1,"btc"
"F100Q1002632",5,1,"btc"
"F100Q1002635",18,1,"btc"
"F100Q1002635",32,1,"btc"
"F100Q1002635",39,1,"btc"
"F100Q1002648",7,1,"btc"
"F100Q1002648",22,1,"btc"
"F100Q1002670",26,1,"btc"
"F100Q1002682",4,1,"btc"
"F100Q1002682",8,1,"btc"
"F100Q1002685",18,1,"btc"
"F100Q1002685",37,4,"btc"
"F100Q1002686",3,1,"btc"
"F100Q1002687",8,1,"btc"
"F100Q1002692",2,1,"btc"
"F100Q1002692",17,1,"btc"
"F100Q1002693",2,1,"btc"
"F100Q1002699",31,1,"btc"
"F100Q1002721",5,1,"btc"
"F100Q1002737",9,1,"btc"
"F100Q1002741",8,1,"btc"
"F100Q1002741",11,1,"btc"
"F100Q1002741",20,1,"btc"
"F100Q1002743",37,1,"btc"
"F100Q1002743",40,1,"btc"
"F100Q1002743",47,1,"btc"
"F100Q1002743",52,1,"btc"
"F100Q1002743",59,1,"btc"
"F100Q1002743",87,2,"btc"
"F100Q1002743",89,1,"btc"
"F100Q1002743",96,2,"btc"
"F100Q1002743",105,8,"btc"
"F100Q1002743",119,4,"btc"
"F100Q1002743",132,15,"FC"
"F100Q1002745",2,1,"btc"
"F100Q1002747",4,1,"btc"
"F100Q1002750",10,6,"btc"
"F100Q1002750",23,11,"btc"
"F100Q1002750",26,11,"btc"
"F100Q1002755",18,1,"btc"
"F100Q1002755",31,1,"btc"
"F100Q1002762",10,2,"btc"
"F100Q1002762",19,3,"btc"
"F100Q1002762",23,4,"btc"
"F100Q1002762",32,3,"btc"
"F100Q1002762",36,3,"btc"
"F100Q1002762",40,2,"btc"
"F100Q1002762",42,2,"btc"
"F100Q1002762",44,2,"btc"
"F100Q1002762",48,4,"btc"
"F100Q1002762",62,2,"btc"
"F100Q1002762",73,2,"btc"
"F100Q1002762",80,5,"btc"
"F100Q1002762",84,5,"btc"
"F100Q1002762",86,4,"btc"
"F100Q1002762",89,3,"btc"
"F100Q1002762",91,2,"btc"
"F100Q1002762",93,1,"btc"
"F100Q1002762",97,2,"btc"
"F100Q1002762",102,2,"btc"
"F100Q1002762",105,2,"btc"
"F100Q1002762",107,2,"btc"
"F100Q1002762",145,2,"btc"
"F100Q1002762",153,1,"btc"
"F100Q1002762",162,2,"btc"
"F100Q1002763",5,1,"btc"
"F100Q1002767",8,1,"btc"
"F100Q1002767",14,3,"btc"
"F100Q1002767",16,1,"btc"
"F100Q1002767",20,1,"btc"
"F100Q1002767",22,1,"btc"
"F100Q1002767",30,1,"btc"
"F100Q1002767",34,2,"btc"
"F100Q1002767",37,2,"btc"
