"loanID","HPA2Yr","currentValue","UPB","CLTV","BaseSev"
"100237421879",0.94380693245001679058121925,152960.00,151628.95,0.99129805177824267,0.56
"100247160560",0.97636029363826952561434905,90908.62,87026.97,0.95730162882243730,0.59
"100282625096",1.03416572988598040790107595,257215.36,236242.84,0.91846318975663039,0.31
"100300933722",0.94470505826664591134754459,262539.00,246466.27,0.93877964797611021,0.57
"100314322919",1.00623913326315600345267515,162106.32,147388.34,0.90920785815136633,0.51
"100326456841",0.94339311325185241594638845,107132.24,106408.20,0.99324162362329024,0.75
"100330607744",0.70064241766196050488599348,211612.08,194280.00,0.91809503502824602,0.20
"100345182460",0.94584509555793504007268243,293754.61,280596.68,0.95520774976093141,0.26
"100351003803",0.96759974132583838143880904,56826.94,51562.98,0.90736858257720721,0.89
"100373599973",0.88487594484501274315463872,394958.88,380274.34,0.96282007889023789,0.20
"100381452649",0.93610296382605166941219012,102349.00,92619.06,0.90493370721746182,0.65
"100382476153",1.14617689223875240782716348,189525.00,179874.95,0.94908297058435562,0.48
"100393092845",0.90889282309682690998229606,222946.50,201638.01,0.90442330334856120,0.65
"100420514008",0.89023274432435666495110653,230688.73,208851.33,0.90533824517565292,0.13
"100429745012",0.98240792992614765561743994,94357.14,87304.29,0.92525366919768869,0.48
"100439066516",0.92001398711831410104564989,88035.71,80314.72,0.91229706672440081,0.40
"100446957814",0.97628917260819101309898855,30372.00,27781.23,0.91469873567759778,0.67
"100449430904",0.99337464854504656547102543,243765.78,222007.50,0.91074104002620876,0.10
"100452851416",0.93617200408330987081172389,26611.13,25771.65,0.96845380109751070,0.51
"100456902769",1.10724972631066793242881195,79224.24,76385.96,0.96417409621095765,0.88
"100461347150",0.93103303969366415116544988,269168.38,262401.19,0.97485889687339946,0.23
"100477584164",1.02167657778630347208900824,260794.50,245584.66,0.94167883141707359,0.30
"100530844072",0.98506158253354265460371922,263674.07,245017.24,0.92924283377580510,0.43
"100534031719",0.87491468501164536067453548,96568.41,93298.64,0.96614037654756871,0.84
"100556734474",0.94033705688642319419038045,104580.00,94205.79,0.90080120481927710,0.16
"100575076165",0.88099934253780407626561472,428962.02,392383.23,0.91472720591906947,0.28
"100579703553",0.97347082968844708757051148,287059.48,260273.08,0.90668693470774767,0.18
"100630907595",0.93260990196682902768358098,54258.00,50688.87,0.93421928563529802,0.99
"100708526633",0.78529569968575715539450216,148023.87,146154.74,0.98737277980909430,0.35
"100711954922",0.91076507737550016873162030,199130.40,181128.14,0.90959562176342738,0.28
"100731660711",1.08551933469881189141886669,110220.00,102262.87,0.92780684086372709,0.40
"100765330744",0.94688444368827261016454803,271290.00,258575.65,0.95313373143130966,0.21
"100785011055",0.89487331456512075863090828,188235.00,173353.05,0.92093951709299545,0.50
"100792349848",0.92600100279349749445025828,189113.81,181290.88,0.95863374546787460,0.23
"100834893740",0.84677620558149481412838150,230717.75,209686.56,0.90884450806234024,0.12
